"","county","weave_ct2010","gradrate","ccrpi","grade3","grade8","lbw","childnohealth","childpoverty","povertyrate","housingburden","momsnohs","collegerate","adultsnoedu","adultnohealth","unemployment","ChildZ","FamilyZ","CommunityZ","CWB_Index"
"1","Butts",13035150100,79.4,70.9,40.8,14.8,9,11.7,16.6,20.1,30.1,16.3,68,20.3,19.1,13.4,0.517518075144357,0.709749902813353,0.526703266961869,0.586433636129031
"2","Butts",13035150200,79.4,70.9,38.2,14.8,12.3,5.1,29.3,43.4,39.6,24.4,68,27,32.7,13.8,0.469372880232896,0.499682097910036,0.406125273257976,0.437275221956803
"3","Butts",13035150300,79.4,70.9,35.6,14.8,8.2,4.9,22.1,25.8,30,17.7,68,28.9,16.1,11.9,0.541401533009021,0.679475001194969,0.49567881613816,0.570572012255385
"4","Cherokee",13057090100,83.6,76,50.7,52.1,8.9,3.6,9.6,26.1,33.3,8.9,79.2,17.1,14.6,5.8,0.711946555465492,0.712450643062438,0.72546033693543,0.724550176326666
"5","Cherokee",13057090200,71.7,69.3,53.4,34,7.4,15,4.6,19.1,31.9,13.8,73.9,12.5,18.2,11.8,0.58414526330161,0.717114133097777,0.642769974189457,0.653591601791249
"6","Cherokee",13057090300,71.7,69.3,57.8,40.9,9,8.7,5.4,15.9,31.1,5.3,73.9,7.9,13.6,6.7,0.614131358016677,0.790783747041874,0.752366876936241,0.734326729570335
"7","Cherokee",13057090400,72.1,69.5,24.2,36,7.6,11.8,23.4,50,45.8,18.4,74,36.5,38.9,8.1,0.505917083795264,0.469495758729008,0.405882186282803,0.436721415916362
"8","Cherokee",13057090501,89.2,79.2,67.5,54.9,7.8,2.8,14.2,18.8,28.8,6.6,82.2,17.5,17.1,7.5,0.795200099695066,0.787583269611726,0.711913953145654,0.780202670625437
"9","Cherokee",13057090502,89.2,79.2,69,54.9,5.8,0.9,17.2,11.9,37.4,3.6,82.2,6,14.3,8.4,0.831199350144859,0.772262508059916,0.799169105800862,0.816973534063608
"10","Cherokee",13057090601,76.9,74.1,43.7,36.6,8.5,22.1,28.4,37.3,38.4,19.2,76.5,26.1,27.1,14.5,0.506443043412313,0.565674598324283,0.48914687114786,0.507677206215391
